name,country,region,city,diocese,address,latitude,longitude,phone,email,website,mass_times,languages,source,verified
St. Peter's Basilica,Vatican,Vatican City,Vatican City,Holy See,Piazza San Pietro,41.9022,12.4539,3906698884676.0,,vatican.va,Daily: 8am 9am 10am 11am 12pm,Latin|Italian|Multiple,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Patrick's Cathedral New York,United States,New York,New York City,Archdiocese of New York,5th Ave & 50th St,40.7586,-73.9762,12122978133.0,,saintpatrickscathedral.org,Daily: 7am 8am 12:10pm 5:30pm,English,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Westminster Cathedral,United Kingdom,England,London,Diocese of Westminster,Ashley Place,51.4972,-0.1421,442079983780.0,,westminstercathedral.org.uk,Daily: 7am 8am 10:30am 12:30pm 5:30pm,English|Latin,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Sacred Heart Cathedral Kampala,Uganda,Central,Kampala,Archdiocese of Kampala,Nsambya Road,0.3136,32.5811,,,,Sun: 7am 9am 11am,English|Luganda,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Paul's Cathedral Abuja,Nigeria,FCT,Abuja,Archdiocese of Abuja,Independence Ave,9.0579,7.4951,,,,Sun: 7am 9am 11am 6pm,English|Igbo|Hausa,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Francis of Assisi Dar es Salaam,Tanzania,Dar es Salaam,Dar es Salaam,Archdiocese of Dar es Salaam,Msasani,-6.7924,39.2083,,,,Sun: 7am 9am 11am,English|Kiswahili,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Our Lady of Peace Kigali,Rwanda,Kigali,Kigali,Archdiocese of Kigali,KN 4 Ave,-1.9441,30.0619,,,,Sun: 7am 9am 11am,Kinyarwanda|French|English,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Teresa of Avila Manila,Philippines,NCR,Manila,Archdiocese of Manila,Gen. Luna St,14.5942,120.977,,,,Sun: 6am 7:30am 9am 11am 6pm,Filipino|English,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Our Lady of Guadalupe Mexico City,Mexico,CDMX,Mexico City,Archdiocese of Mexico City,Villa de Guadalupe,19.485,-99.1172,,,,Daily: 7am 8am 10am 12pm,Spanish,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Mary's Cathedral Sydney,Australia,New South Wales,Sydney,Archdiocese of Sydney,Cathedral St,-33.8732,151.2113,61292200400.0,,sydneycatholic.org,Daily: 7am 8am 12:30pm 5:30pm,English,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Cathedral of São Paulo,Brazil,São Paulo,São Paulo,Archdiocese of São Paulo,Praça da Sé,-23.5503,-46.6333,,,,Sun: 7am 9am 11am 6pm,Portuguese,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Joseph Cathedral Hanoi,Vietnam,North,Hanoi,Archdiocese of Hanoi,40 Nha Chung,21.0278,105.8522,,,,Daily: 6am 6pm,Vietnamese,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
